Actual_Heart_Rate,Predicted_Heart_Rate
114.0,137.32
105.0,137.09
94.0,133.87
93.0,133.57
93.0,136.47
107.0,138.31
117.0,137.47
121.0,138.09
121.0,138.38
112.0,138.59
95.0,136.94
85.0,136.8
83.0,138.07
93.0,139.48
94.0,138.2
99.0,136.54
105.0,136.36
103.0,136.56
118.0,137.65
104.0,138.04
107.0,139.53
108.0,140.32
107.0,139.46
104.0,139.34
89.0,139.74
101.0,139.12
113.0,138.44
125.0,138.48
129.0,138.58
129.0,138.64
129.0,138.76
130.0,138.63
133.0,138.44
133.0,138.63
131.0,138.58
133.0,138.56
134.0,138.81
135.0,138.72
138.0,138.5
138.0,138.96
135.0,138.98
136.0,139.1
140.0,139.36
139.0,139.13
141.0,139.25
144.0,139.17
143.0,138.89
146.0,138.83
146.0,138.83
145.0,138.68
145.0,138.76
144.0,138.85
140.0,139.04
139.0,138.89
139.0,138.93
140.0,138.66
141.0,138.84
141.0,138.59
143.0,138.7
143.0,138.63
144.0,138.56
143.0,138.42
145.0,138.31
145.0,138.45
144.0,138.51
144.0,138.58
144.0,138.49
146.0,138.61
145.0,138.59
145.0,138.48
148.0,138.88
148.0,138.95
145.0,138.78
143.0,138.77
144.0,138.77
144.0,138.83
147.0,138.68
145.0,138.67
144.0,138.53
145.0,138.61
146.0,138.63
146.0,138.58
147.0,138.07
150.0,138.16
151.0,138.52
151.0,138.81
149.0,138.71
150.0,138.5
153.0,137.93
155.0,137.91
155.0,137.96
153.0,138.64
151.0,138.57
148.0,138.6
144.0,138.81
139.0,138.64
143.0,138.14
148.0,137.79
153.0,138.01
153.0,138.44
147.0,138.6
150.0,138.5
148.0,138.57
143.0,138.43
145.0,137.96
151.0,137.53
154.0,137.68
155.0,138.63
154.0,138.7
149.0,138.75
144.0,138.5
148.0,137.45
148.0,138.51
143.0,138.87
136.0,138.67
139.0,136.93
149.0,138.25
138.0,139.16
125.0,138.88
110.0,140.65
105.0,139.54
123.0,138.54
131.0,138.87
133.0,139.49
129.0,138.82
130.0,139.17
137.0,138.59
136.0,138.62
134.0,138.5
133.0,139.24
142.0,138.55
130.0,138.79
144.0,138.52
149.0,138.41
146.0,138.5
138.0,138.37
144.0,138.12
146.0,138.17
142.0,138.23
149.0,138.3
147.0,138.32
152.0,138.2
152.0,138.37
148.0,138.37
